Wavelength (nm),Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
347.66,3.417e+6,3.417e+6,,
347.71,2.884e+6,2.884e+6,,
347.76,2.336e+6,2.336e+6,,
347.81,1.818e+6,1.818e+6,,
347.86,1.361e+6,1.361e+6,,
347.91,9.860e+5,9.860e+5,,
347.96,7.018e+5,7.018e+5,,
348.01,5.100e+5,5.100e+5,,
348.06,4.094e+5,4.094e+5,,
348.11,4.001e+5,4.001e+5,,
348.16,4.869e+5,4.869e+5,,
348.21,6.795e+5,6.795e+5,,
348.26,9.920e+5,9.920e+5,,
348.31,1.438e+6,1.438e+6,,
348.36,2.026e+6,2.026e+6,,
348.41,2.751e+6,2.751e+6,,
348.46,3.590e+6,3.590e+6,,
348.51,4.500e+6,4.500e+6,,
348.56,5.413e+6,5.413e+6,,
348.61,6.251e+6,6.251e+6,,
348.66,6.927e+6,6.927e+6,,
348.71,7.368e+6,7.368e+6,,
348.76,7.521e+6,7.521e+6,,
348.81,7.368e+6,7.368e+6,,
348.86,6.927e+6,6.927e+6,,
348.91,6.251e+6,6.251e+6,,
348.96,5.413e+6,5.413e+6,,
349.01,4.499e+6,4.499e+6,,
349.06,3.589e+6,3.589e+6,,
349.11,2.747e+6,2.747e+6,,
349.16,2.018e+6,2.018e+6,,
349.21,1.423e+6,1.423e+6,,
349.26,9.630e+5,9.630e+5,,
349.31,6.254e+5,6.254e+5,,
349.36,3.898e+5,3.898e+5,,
349.41,2.332e+5,2.332e+5,,
349.46,1.339e+5,1.339e+5,,
349.51,7.376e+4,7.376e+4,,
349.56,3.901e+4,3.901e+4,,
349.61,1.980e+4,1.980e+4,,
349.66,9.641e+3,9.641e+3,,
349.71,4.507e+3,4.507e+3,,
349.76,2.022e+3,2.022e+3,,
349.81,8.705e+2,8.705e+2,,
349.86,3.597e+2,3.597e+2,,
349.91,1.426e+2,1.426e+2,,
349.96,5.429e+1,5.429e+1,,
350.01,1.983e+1,1.983e+1,,
350.06,6.952e+0,6.952e+0,,
350.11,2.339e+0,2.339e+0,,
350.16,7.552e-1,7.552e-1,,
350.21,2.340e-1,2.340e-1,,
