Wavelength (nm),Sum,Mg I (7.9e-03),Mg II (7.2e-01),Mg III (2.7e-01)
283.04,8.892e-8,8.892e-8,,
283.09,6.444e-7,6.444e-7,,
283.14,4.414e-6,4.414e-6,,
283.19,2.831e-5,2.831e-5,,
283.24,1.707e-4,1.707e-4,,
283.29,9.682e-4,9.682e-4,,
283.34,5.165e-3,5.165e-3,,
283.39,2.591e-2,2.591e-2,,
283.44,1.223e-1,1.223e-1,,
283.49,5.430e-1,5.430e-1,,
283.54,2.268e+0,2.268e+0,,
283.59,8.918e+0,8.918e+0,,
283.64,3.300e+1,3.300e+1,,
283.69,1.150e+2,1.150e+2,,
283.74,3.772e+2,3.772e+2,,
283.79,1.166e+3,1.166e+3,,
283.84,3.395e+3,3.395e+3,,
283.89,9.321e+3,9.321e+3,,
283.94,2.414e+4,2.414e+4,,
283.99,5.903e+4,5.903e+4,,
284.04,1.363e+5,1.363e+5,,
284.09,2.978e+5,2.978e+5,,
284.14,6.157e+5,6.157e+5,,
284.19,1.208e+6,1.208e+6,,
284.24,2.253e+6,2.253e+6,,
284.29,4.011e+6,4.011e+6,,
284.34,6.856e+6,6.856e+6,,
284.39,1.135e+7,1.135e+7,,
284.44,1.840e+7,1.840e+7,,
284.49,2.965e+7,2.965e+7,,
284.54,4.815e+7,4.815e+7,,
284.59,7.944e+7,7.944e+7,,
284.64,1.330e+8,1.330e+8,,
284.69,2.236e+8,2.236e+8,,
284.74,3.720e+8,3.720e+8,,
284.79,6.031e+8,6.031e+8,,
284.84,9.414e+8,9.414e+8,,
284.89,1.403e+9,1.403e+9,,
284.94,1.985e+9,1.985e+9,,
284.99,2.655e+9,2.655e+9,,
285.04,3.353e+9,3.353e+9,,
285.09,3.990e+9,3.990e+9,,
285.14,4.471e+9,4.471e+9,,
285.19,4.715e+9,4.715e+9,,
285.24,4.679e+9,4.679e+9,,
285.29,4.368e+9,4.368e+9,,
285.34,3.835e+9,3.835e+9,,
285.39,3.167e+9,3.167e+9,,
285.44,2.460e+9,2.460e+9,,
285.49,1.796e+9,1.796e+9,,
285.54,1.234e+9,1.234e+9,,
285.59,7.971e+8,7.971e+8,,
285.64,4.843e+8,4.843e+8,,
285.69,2.767e+8,2.767e+8,,
285.74,1.486e+8,1.486e+8,,
285.79,7.510e+7,7.510e+7,,
285.84,3.568e+7,3.568e+7,,
285.89,1.594e+7,1.594e+7,,
285.94,6.699e+6,6.699e+6,,
285.99,2.647e+6,2.647e+6,,
286.04,9.836e+5,9.836e+5,,
286.09,3.437e+5,3.437e+5,,
286.14,1.130e+5,1.130e+5,,
286.19,3.491e+4,3.491e+4,,
286.24,1.014e+4,1.014e+4,,
286.29,2.772e+3,2.772e+3,,
286.34,7.125e+2,7.125e+2,,
286.39,1.722e+2,1.722e+2,,
286.44,3.914e+1,3.914e+1,,
286.49,8.366e+0,8.366e+0,,
286.54,1.681e+0,1.681e+0,,
286.59,3.178e-1,3.178e-1,,
286.64,5.649e-2,5.649e-2,,
286.69,9.443e-3,9.443e-3,,
286.74,1.484e-3,1.484e-3,,
286.79,2.194e-4,2.194e-4,,
286.84,3.050e-5,3.050e-5,,
286.89,3.987e-6,3.987e-6,,
286.94,4.887e-7,4.887e-7,,
289.79,1.185e-8,1.185e-8,,
289.84,9.124e-8,9.124e-8,,
289.89,6.624e-7,6.624e-7,,
289.94,4.534e-6,4.534e-6,,
