Wavelength (nm),Sum,Fe I (6.3e-01),Fe II (3.7e-01),Fe III (5.1e-07)
430,7.352e+7,7.352e+7,,2.791e-10
430.1,8.291e+7,8.291e+7,,2.964e-10
430.2,9.253e+7,9.253e+7,,3.129e-10
430.3,1.019e+8,1.019e+8,,3.277e-10
430.4,1.106e+8,1.106e+8,,3.401e-10
430.5,1.179e+8,1.179e+8,,3.490e-10
430.6,1.232e+8,1.232e+8,,3.537e-10
430.7,1.263e+8,1.263e+8,,3.533e-10
430.8,1.268e+8,1.268e+8,,3.475e-10
430.9,1.248e+8,1.248e+8,,3.359e-10
431,1.205e+8,1.205e+8,,3.188e-10
431.1,1.144e+8,1.144e+8,,2.967e-10
431.2,1.073e+8,1.073e+8,,2.707e-10
431.3,9.997e+7,9.997e+7,,2.418e-10
431.4,9.337e+7,9.337e+7,,2.113e-10
431.5,8.828e+7,8.828e+7,,1.806e-10
431.6,8.537e+7,8.537e+7,,1.509e-10
431.7,8.503e+7,8.503e+7,,1.231e-10
431.8,8.738e+7,8.738e+7,,9.816e-11
431.9,9.221e+7,9.221e+7,,7.638e-11
432,9.903e+7,9.903e+7,,5.800e-11
432.1,1.071e+8,1.071e+8,,4.298e-11
432.2,1.155e+8,1.155e+8,,3.106e-11
432.3,1.232e+8,1.232e+8,,2.189e-11
432.4,1.294e+8,1.294e+8,,1.504e-11
432.5,1.332e+8,1.332e+8,,1.008e-11
432.6,1.340e+8,1.340e+8,,6.579e-12
432.7,1.316e+8,1.316e+8,,4.186e-12
432.8,1.261e+8,1.261e+8,,2.595e-12
432.9,1.178e+8,1.178e+8,,1.568e-12
433,1.072e+8,1.072e+8,,9.225e-13
433.1,9.496e+7,9.496e+7,,5.288e-13
433.2,8.195e+7,8.195e+7,,2.952e-13
433.3,6.887e+7,6.887e+7,,1.606e-13
433.4,5.635e+7,5.635e+7,,8.503e-14
433.5,4.490e+7,4.490e+7,,4.386e-14
433.6,3.483e+7,3.483e+7,,2.204e-14
