obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""668.9258""","=""0.0005""","=""668.92597""","=""0.00018""","=""15""","=""""",,"=""18145.286""","=""33090.497""","=""3d3.(2P).4s""","=""b 3P""","=""2""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",,"=""""","=""L10989""",
"=""669.4383""","=""0.0005""","=""669.43886""","=""0.00013""","=""2""","=""""",,"=""28702.778""","=""43636.5388""","=""3d3.(4F).4p""","=""y 5F*""","=""3""","=""3d3.(4F).4d""","=""5G""","=""3""",,"=""""","=""L10989""",
"=""670.6284""","=""0.0005""","=""670.62867""","=""0.00018""","=""4""","=""""",,"=""12118.393""","=""27025.659""","=""3d2.4s2""","=""a 1G""","=""4""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""4""",,"=""""","=""L10989""",
"=""671.6665""","=""0.0005""","=""671.6666""","=""0.0003""","=""49""","=""""",,"=""20062.886""","=""34947.116""","=""3d3.(2P).4s""","=""a 1P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""y 1P*""","=""1""",,"=""""","=""L10989""",
"=""674.3119""","=""0.0005""","=""674.31217""","=""0.00023""","=""630""","=""6.9e+05""",D,"=""7255.355""","=""22081.189""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 1D*""","=""2""",,"=""T4401n""","=""L10989""",
"=""674.3200""","=""0.0005""","=""674.3187""","=""0.0003""","=""54""","=""""",,"=""20209.447""","=""35035.137""","=""3d3.(2D2).4s""","=""b 1D""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""x 1D*""","=""2""",,"=""""","=""L10989""",
"=""674.5546""","=""0.0005""","=""674.5544""","=""0.0003""","=""35""","=""""",,"=""18037.213""","=""32857.723""","=""3d3.(2H).4s""","=""a 3H""","=""4""","=""3d2.(1D).4s.4p.(1P*)""","=""y 1F*""","=""3""",,"=""""","=""L10989""",
"=""674.6330""","=""0.0005""","=""674.63330""","=""0.00023""","=""11""","=""""",,"=""15220.393""","=""30039.170""","=""3d3.(2G).4s""","=""a 3G""","=""5""","=""3d2.(1G).4s.4p.(3P*)""","=""x 3G*""","=""5""",,"=""""","=""L10989""",
"=""674.8377""","=""0.0005""","=""674.83791""","=""0.00018""","=""4""","=""""",,"=""15156.802""","=""29971.086""","=""3d3.(2G).4s""","=""a 3G""","=""4""","=""3d2.(1G).4s.4p.(3P*)""","=""x 3G*""","=""4""",,"=""""","=""L10989""",
"=""675.194""","=""0.007""","=""675.18694""","=""0.00018""","=""0""","=""""",,"=""15108.111""","=""29914.737""","=""3d3.(2G).4s""","=""a 3G""","=""3""","=""3d2.(1G).4s.4p.(3P*)""","=""x 3G*""","=""3""",,"=""""","=""L3392""",
"=""676.3961""","=""0.0005""","=""676.39622""","=""0.00014""","=""22""","=""""",,"=""27750.135""","=""42530.2894""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3G*""","=""5""","=""3d2.4s.(4F).4d""","=""3H""","=""6""",,"=""""","=""L10989""",
"=""677.6220""","=""0.0006""","=""677.62217""","=""0.00014""","=""17""","=""""",,"=""27614.679""","=""42368.0934""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3G*""","=""4""","=""3d2.4s.(4F).4d""","=""3H""","=""5""",,"=""""","=""L10989""",
"=""678.3461""","=""0.0006""","=""678.3461""","=""0.0003""","=""12""","=""""",,"=""20209.447""","=""34947.116""","=""3d3.(2D2).4s""","=""b 1D""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""y 1P*""","=""1""",,"=""""","=""L10989""",
"=""679.3546""","=""0.0006""","=""679.35483""","=""0.00018""","=""11""","=""""",,"=""27498.982""","=""42214.7689""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3G*""","=""3""","=""3d2.4s.(4F).4d""","=""3H""","=""4""",,"=""""","=""L10989""",
"=""681.1020""","=""0.0006""","=""681.1022""","=""0.0003""","=""3""","=""""",,"=""25037.405""","=""39715.439""","=""3d3.(2F).4s""","=""3F""","=""4""","=""3d3.(2D2).4p""","=""s 3D*""","=""3""",,"=""""","=""L10989""",
"=""681.8112""","=""0.0012""","=""681.81006""","=""0.00019""","=""3q""","=""""",,"=""21469.488""","=""36132.283""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""3""","=""3d4""","=""b 3G""","=""4""",,"=""""","=""L10989""",
