obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""184.112""","=""0.002""","=""184.11169""","=""0.00006""","=""30*""","=""""",,"=""14901.203""","=""69216.059""","=""3d6""","=""a 5D""","=""1""","=""3d5.(4P).4p""","=""z 3P*""","=""1""",,"=""""","=""L562""",
"=""184.133""","=""0.0015""","=""184.1323""","=""0.0003""","=""10""","=""""",,"=""49291.36""","=""103600.14""","=""3d6""","=""b 1F""","=""3""","=""3d5.(b 2D).4p""","=""w 1D*""","=""2""",,"=""""","=""L562""",
"=""184.161""","=""0.002""","=""184.16005""","=""0.00014""","=""40*""","=""""",,"=""34762.098""","=""89062.69""","=""3d6""","=""b 3G""","=""5""","=""3d5.(a 2G).4p""","=""1H*""","=""5""",,"=""""","=""L562""",
"=""184.161""","=""0.002""","=""184.16006""","=""0.00014""","=""40*""","=""""",,"=""31761.21""","=""86061.80""","=""3d6""","=""a 3F""","=""2""","=""3d5.(a 2F).4p""","=""y 1F*""","=""3""",,"=""""","=""L562""",
"=""184.172""","=""0.0015""","=""184.1715""","=""0.0005""","=""3""","=""""",,"=""54938.213""","=""109235.44""","=""3d4.4s2""","=""c 5D""","=""1""","=""3d4.(b 3F).4s.4p.(3P*)""","=""v 5D*""","=""1""",,"=""""","=""L562""",
"=""184.1947""","=""0.0006""","=""184.19378""","=""0.00014""","=""100""","=""""",,"=""31662.04""","=""85952.69""","=""3d6""","=""a 3F""","=""3""","=""3d5.(4F).4p""","=""3F*""","=""3""",,"=""""","=""L562""",
"=""184.233""","=""0.0015""","=""184.23189""","=""0.00024""","=""10""","=""""",,"=""27583.59""","=""81863.01""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4F).4p""","=""y 5G*""","=""4""",,"=""""","=""L562""",
"=""184.249""","=""0.0015""","=""184.24866""","=""0.00024""","=""1""","=""""",,"=""27588.53""","=""81863.01""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4F).4p""","=""y 5G*""","=""4""",,"=""""","=""L562""",
"=""184.2863""","=""0.0006""","=""184.28524""","=""0.00005""","=""50*""","=""4.2e+06""",D+,"=""14781.205""","=""69044.91""","=""3d6""","=""a 5D""","=""2""","=""3d5.(4P).4p""","=""z 3P*""","=""2""",,"=""T7259""","=""L562""",
"=""184.2863""","=""0.0006""","=""184.2874""","=""0.0006""","=""50*""","=""""",,"=""55116.333""","=""109379.4""","=""3d4.4s2""","=""c 5D""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""t 5P*""","=""3""",,"=""""","=""L562""",
