obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""184.5146""","=""0.0002""","=""184.514661""","=""0.000008""","=""1100""","=""""",,"=""7955.3186""","=""62151.554""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""",,"=""""","=""L18349c140""",
"=""184.60181""","=""0.00002""","=""184.601809""","=""0.000014""","=""2200""","=""""",,"=""62171.624""","=""116342.274""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""7/2""","=""3d5.4s.(5S).4d""","=""6D""","=""7/2""",,"=""""","=""L18349c139""",
"=""184.626788""","=""0.000011""","=""184.626792""","=""0.000008""","=""8000""","=""""",,"=""62171.624""","=""116334.944""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""7/2""","=""3d5.4s.(5S).4d""","=""6D""","=""9/2""",,"=""""","=""L18349c139""",
"=""184.65758""","=""0.00006""","=""184.657597""","=""0.000008""","=""18000""","=""2.2e+07""",D+,"=""16369.4098""","=""70523.694""","=""3d7""","=""a 2G""","=""7/2""","=""3d6.(3G).4p""","=""x 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.6768""","=""0.0002""","=""184.676980""","=""0.000008""","=""3300""","=""""",,"=""8680.4706""","=""62829.071""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""1/2""",,"=""""","=""L18349c140""",
"=""184.7097""","=""0.0002""","=""184.708579""","=""0.000010""","=""180""","=""""",,"=""52582.850""","=""106722.187""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""7/2""","=""3d6.(3H).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c140""",
"=""184.7475""","=""0.0005""","=""184.747950""","=""0.000008""","=""3600""","=""""",,"=""7955.3186""","=""62083.118""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3H).4p""","=""z 2G*""","=""9/2""",,"=""""","=""L18349c143""",
"=""184.7903""","=""0.0005""","=""184.790175""","=""0.000008""","=""3300""","=""""",,"=""8846.7837""","=""62962.215""","=""3d6.(5D).4s""","=""a 4D""","=""1/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""3/2""",,"=""""","=""L18349c144""",
"=""184.8081""","=""0.0002""","=""184.808008""","=""0.000008""","=""400bl(Fe II)*""","=""""",,"=""7955.3186""","=""62065.528""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""",,"=""""","=""L18349c140""",
"=""184.8081""","=""0.0002""","=""184.809054""","=""0.000010""","=""400bl(Fe II)*""","=""""",,"=""38164.220""","=""92274.123""","=""3d6.(1D2).4s""","=""c 2D""","=""5/2""","=""3d6.(3P1).4p""","=""4P*""","=""5/2""",,"=""""","=""L18349c140""",
"=""184.82405""","=""0.00002""","=""184.824039""","=""0.000014""","=""7000""","=""4.7e+08""",C+,"=""52299.810""","=""106405.326""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""5/2""","=""3d5.(6S).4p2""","=""8P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.87740""","=""0.00005""","=""184.877362""","=""0.000010""","=""20000""","=""4.9e+07""",D+,"=""20516.9534""","=""74606.864""","=""3d7""","=""a 2D2""","=""5/2""","=""3d6.(3D).4p""","=""x 2D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.938315""","=""0.000012""","=""184.938351""","=""0.000010""","=""14000""","=""2.4e+07""",E,"=""52582.850""","=""106654.923""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""7/2""","=""3d5.4s.(7S).4d""","=""6D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""184.9495""","=""0.0002""","=""184.948742""","=""0.000017""","=""800""","=""""",,"=""18360.6399""","=""72429.675""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(3D).4p""","=""w 4D*""","=""1/2""",,"=""""","=""L18349c140""",
"=""185.0215""","=""0.0002""","=""185.021760""","=""0.000010""","=""210""","=""""",,"=""36252.931""","=""90300.628""","=""3d6.(3D).4s""","=""b 2D""","=""5/2""","=""3d6.(5D).5p""","=""6F*""","=""7/2""",,"=""""","=""L18349c140""",
"=""185.14815""","=""0.00004""","=""185.148132""","=""0.000010""","=""2900""","=""""",,"=""52582.850""","=""106593.657""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""7/2""","=""3d5.4s.(7S).5s""","=""6S""","=""5/2""",,"=""""","=""L18349c139""",
"=""185.1520""","=""0.0005""","=""185.152943""","=""0.000008""","=""3200""","=""3.1e+06""",D,"=""8680.4706""","=""62689.874""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c144""",
"=""185.235277""","=""0.000017""","=""185.235284""","=""0.000008""","=""7000""","=""6.e+07""",E,"=""54232.201""","=""108217.596""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""185.2424""","=""0.0005""","=""185.241670""","=""0.000021""","=""1200bl(Fe I)""","=""1.0e+07""",D+,"=""44915.057""","=""98898.591""","=""3d6.(1F).4s""","=""c 2F""","=""7/2""","=""3d6.(1G1).4p""","=""2F*""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""185.30283""","=""0.00005""","=""185.302822""","=""0.000008""","=""2200""","=""2.8e+07""",E,"=""54273.656""","=""108239.375""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""185.30982""","=""0.00005""","=""185.309665""","=""0.000008""","=""1100""","=""1.4e+06""",D,"=""54275.649""","=""108239.375""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""185.33572""","=""0.00004""","=""185.335722""","=""0.000008""","=""2900""","=""8.e+06""",E,"=""54283.236""","=""108239.375""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""185.3736""","=""0.0002""","=""185.373256""","=""0.000008""","=""1900""","=""""",,"=""16369.4098""","=""70314.624""","=""3d7""","=""a 2G""","=""7/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",,"=""""","=""L18349c140""",
"=""185.37762""","=""0.00004""","=""185.377635""","=""0.000008""","=""2900""","=""1.6e+07""",E,"=""54273.656""","=""108217.596""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""185.39875""","=""0.00004""","=""185.398868""","=""0.000010""","=""2300""","=""4.e+07""",E,"=""52582.850""","=""106520.612""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""7/2""","=""3d5.4s.(7S).4d""","=""6D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""185.41049""","=""0.00007""","=""185.410562""","=""0.000008""","=""1100""","=""2.5e+06""",D,"=""54283.236""","=""108217.596""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""185.4235""","=""0.0002""","=""185.423868""","=""0.000008""","=""1400""","=""""",,"=""8391.9554""","=""62322.445""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""",,"=""""","=""L18349c140""",
"=""185.466186""","=""0.000015""","=""185.466204""","=""0.000010""","=""10000""","=""8.e+06""",E,"=""52582.850""","=""106501.029""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""7/2""","=""3d5.4s.(7S).4d""","=""6D""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""185.4989""","=""0.0002""","=""185.500027""","=""0.000010""","=""400""","=""""",,"=""54870.541""","=""108778.889""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""3/2""",,"=""""","=""L18349c140""",
"=""185.632022""","=""0.000009""","=""185.632019""","=""0.000010""","=""30000""","=""6.3e+08""",B+,"=""52966.173""","=""106836.190""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""9/2""","=""3d5.(6S).4p2""","=""8P""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""185.6925""","=""0.0002""","=""185.692195""","=""0.000008""","=""2700bl(Fe II)*""","=""""",,"=""8391.9554""","=""62244.515""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""3/2""",,"=""""","=""L18349c140""",
"=""185.6925""","=""0.0002""","=""185.692921""","=""0.000010""","=""2700bl(Fe II)*""","=""""",,"=""18360.6399""","=""72212.989""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(3D).4p""","=""w 4P*""","=""1/2""",,"=""""","=""L18349c140""",
"=""185.7009""","=""0.0002""","=""185.701756""","=""0.000008""","=""700""","=""""",,"=""60956.781""","=""114806.568""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""","=""3d6.(5D).6d""","=""4G""","=""5/2""",,"=""""","=""L18349c140""",
"=""185.7404""","=""0.0002""","=""185.739452""","=""0.000008""","=""500""","=""""",,"=""60807.239""","=""114646.097""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(5D).6d""","=""4G""","=""7/2""",,"=""""","=""L18349c140""",
"=""185.795986""","=""0.000017""","=""185.795986""","=""0.000014""","=""9000""","=""8.3e+08""",B+,"=""52582.850""","=""106405.326""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""7/2""","=""3d5.(6S).4p2""","=""8P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""185.93598""","=""0.00017""","=""185.935843""","=""0.000008""","=""1500""","=""""",,"=""50187.822""","=""103969.814""","=""3d6.(3F1).4s""","=""c 4F""","=""7/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c139""",
"=""185.9553""","=""0.0002""","=""185.955487""","=""0.000010""","=""1100""","=""""",,"=""20830.5534""","=""74606.864""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(3D).4p""","=""x 2D*""","=""5/2""",,"=""""","=""L18349c140""",
"=""185.97471""","=""0.00004""","=""185.974715""","=""0.000008""","=""11000""","=""1.1e+07""",D+,"=""7955.3186""","=""61726.069""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""186.0002""","=""0.0005""","=""185.999512""","=""0.000021""","=""500""","=""""",,"=""54063.358""","=""107826.940""","=""3d6.(3P1).4s""","=""c 2P""","=""1/2""","=""3d6.(5D).6p""","=""6P*""","=""3/2""",,"=""""","=""L18349c143""",
"=""186.00527""","=""0.00002""","=""186.005267""","=""0.000008""","=""31000""","=""7.0e+07""",D+,"=""15844.6485""","=""69606.567""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3G).4p""","=""y 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""186.0130""","=""0.0005""","=""186.013294""","=""0.000008""","=""2700d?""","=""""",,"=""8391.9554""","=""62151.554""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""",,"=""""","=""L18349c143""",
"=""186.1629""","=""0.0005""","=""186.162313""","=""0.000008""","=""500d?""","=""""",,"=""50157.475""","=""103874.040""","=""3d6.(3F1).4s""","=""c 4F""","=""9/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""9/2""",,"=""""","=""L18349c143""",
"=""186.1682""","=""0.0002""","=""186.167273""","=""0.000008""","=""150bl(Fe III)""","=""""",,"=""61332.753""","=""115047.887""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""","=""3d6.(5D).6d""","=""6P""","=""5/2""",,"=""""","=""L18349c140""",
"=""186.2443""","=""0.0002""","=""186.244065""","=""0.000008""","=""250""","=""""",,"=""54273.656""","=""107966.642""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""9/2""",,"=""""","=""L18349c140""",
"=""186.3112""","=""0.0002""","=""186.311429""","=""0.000008""","=""1100""","=""2.4e+05""",E,"=""8391.9554""","=""62065.528""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""",,"=""T6892c83""","=""L18349c140""",
"=""186.3175""","=""0.0005""","=""186.318256""","=""0.000008""","=""500""","=""""",,"=""54275.649""","=""107947.255""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d6.(5D).6p""","=""4P*""","=""3/2""",,"=""""","=""L18349c143""",
"=""186.3711""","=""0.0005""","=""186.370179""","=""0.000008""","=""260d?""","=""""",,"=""60989.444""","=""114646.097""","=""3d6.(3H).4p""","=""z 4H*""","=""9/2""","=""3d6.(5D).6d""","=""4G""","=""7/2""",,"=""""","=""L18349c143""",
"=""186.46453""","=""0.00004""","=""186.464487""","=""0.000010""","=""16000""","=""1.6e+07""",D+,"=""20340.2461""","=""73969.761""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(1I).4p""","=""y 2I*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""186.474640""","=""0.000017""","=""186.474633""","=""0.000010""","=""50000bl(Fe I)""","=""5.5e+07""",D+,"=""20340.2461""","=""73966.843""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(1I).4p""","=""y 2I*""","=""13/2""",,"=""T6892c83""","=""L18349c148""",
"=""186.5210""","=""0.0005""","=""186.521188""","=""0.000009""","=""400d""","=""1.0e+07""",E,"=""54273.656""","=""107886.868""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""186.55452""","=""0.00005""","=""186.554523""","=""0.000008""","=""1800""","=""5.e+06""",E,"=""54283.236""","=""107886.868""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""186.55876""","=""0.00005""","=""186.558786""","=""0.000008""","=""1000""","=""""",,"=""60270.351""","=""113872.758""","=""3d5.4s2""","=""c 4D""","=""7/2""","=""3d6.(5D<1>).5f""","=""2[4]*""","=""9/2""",,"=""""","=""L18349c139""",
"=""186.6920""","=""0.0002""","=""186.692400""","=""0.000008""","=""1300""","=""""",,"=""8680.4706""","=""62244.515""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""3/2""",,"=""""","=""L18349c140""",
"=""186.725874""","=""0.000011""","=""186.725885""","=""0.000010""","=""14000""","=""1.3e+07""",E,"=""52966.173""","=""106520.612""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""9/2""","=""3d5.4s.(7S).4d""","=""6D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""186.7691""","=""0.0002""","=""186.769883""","=""0.000008""","=""200bl(Fe II)*""","=""""",,"=""60445.279""","=""113987.102""","=""3d5.4s2""","=""c 4D""","=""5/2""","=""3d6.(5D<0>).5f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c140""",
"=""186.7691""","=""0.0002""","=""186.770071""","=""0.000021""","=""200bl(Fe II)*""","=""""",,"=""54063.358""","=""107605.127""","=""3d6.(3P1).4s""","=""c 2P""","=""1/2""","=""3d6.(5D).6p""","=""6F*""","=""3/2""",,"=""""","=""L18349c140""",
"=""186.794179""","=""0.000010""","=""186.79415""","=""0.00005""","=""16000bl(Fe II)*""","=""""",,"=""48039.109""","=""101573.977""","=""3d7""","=""d 2D1""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4P*""","=""3/2""",,"=""""","=""L18349c148""",
"=""186.794179""","=""0.000010""","=""186.794189""","=""0.000010""","=""16000bl(Fe II)*""","=""5.e+07""",E,"=""52966.173""","=""106501.029""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""9/2""","=""3d5.4s.(7S).4d""","=""6D""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
"=""186.9320""","=""0.0005""","=""186.930839""","=""0.000008""","=""270""","=""""",,"=""60270.351""","=""113766.072""","=""3d5.4s2""","=""c 4D""","=""7/2""","=""3d6.(5D<2>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L18349c143""",
"=""186.9412""","=""0.0005""","=""186.940277""","=""0.000008""","=""500bl(Fe II)*""","=""""",,"=""60989.444""","=""114482.464""","=""3d6.(3H).4p""","=""z 4H*""","=""9/2""","=""3d6.(5D).6d""","=""4G""","=""9/2""",,"=""""","=""L18349c143""",
"=""186.9412""","=""0.0005""","=""186.940812""","=""0.000008""","=""500bl(Fe II)*""","=""""",,"=""50187.822""","=""103680.689""","=""3d6.(3F1).4s""","=""c 4F""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c143""",
"=""186.9463""","=""0.0005""","=""186.947326""","=""0.000008""","=""260d,bl(Ne)?""","=""""",,"=""61093.406""","=""114584.409""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(5D).6d""","=""114584""","=""5/2""",,"=""""","=""L18349c143""",
"=""186.955452""","=""0.000009""","=""186.955453""","=""0.000008""","=""34000""","=""2.2e+08""",D,"=""54232.201""","=""107720.879""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""186.9762""","=""0.0002""","=""186.976479""","=""0.000010""","=""2800""","=""4.7e+06""",D+,"=""30388.5451""","=""83871.208""","=""3d6.(3G).4s""","=""b 2G""","=""9/2""","=""3d6.(1F).4p""","=""v 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c140""",
"=""187.05340""","=""0.00003""","=""187.053391""","=""0.000008""","=""4000""","=""""",,"=""54275.649""","=""107736.321""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d6.(5D).6p""","=""4F*""","=""3/2""",,"=""""","=""L18349c139""",
"=""187.0615""","=""""","=""187.061536""","=""0.000006""","=""400:""","=""1.6e+06""",D,"=""25787.5816""","=""79245.926""","=""3d6.(3P2).4s""","=""b 2P""","=""3/2""","=""3d5.(6S).4s.4p.(1P*)""","=""x 6P*""","=""3/2""",,"=""T6370""","=""L7770""",
"=""187.0702""","=""""","=""187.070158""","=""0.000005""","=""700:""","=""2.4e+06""",D,"=""25787.5816""","=""79243.462""","=""3d6.(3P2).4s""","=""b 2P""","=""3/2""","=""3d6.(1D2).4p""","=""w 2P*""","=""3/2""",,"=""T6370""","=""L7770""",
"=""187.07923""","=""0.00005""","=""187.079238""","=""0.000008""","=""800""","=""""",,"=""54275.649""","=""107728.935""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""""","=""L18349c139""",
"=""187.10045""","=""0.00004""","=""187.100460""","=""0.000008""","=""2600""","=""1.2e+07""",E,"=""54273.656""","=""107720.879""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""187.10580""","=""0.00005""","=""187.105795""","=""0.000008""","=""2200""","=""""",,"=""54283.236""","=""107728.935""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""""","=""L18349c139""",
"=""187.1071""","=""0.0002""","=""187.107775""","=""0.000008""","=""1800""","=""""",,"=""8680.4706""","=""62125.604""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""",,"=""""","=""L18349c140""",
"=""187.11897""","=""0.00004""","=""187.118959""","=""0.000008""","=""1700""","=""4.5e+06""",E,"=""54232.201""","=""107674.140""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""187.1845""","=""0.0002""","=""187.184811""","=""0.000008""","=""190""","=""""",,"=""61041.734""","=""114464.872""","=""3d6.(3H).4p""","=""z 4G*""","=""5/2""","=""3d6.(5D).6d""","=""114464""","=""3/2""",,"=""""","=""L18349c140""",
"=""187.264216""","=""0.000009""","=""187.264220""","=""0.000008""","=""17000""","=""1.42e+08""",C+,"=""54273.656""","=""107674.140""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""187.2789""","=""0.0002""","=""187.279616""","=""0.000008""","=""310""","=""""",,"=""60956.781""","=""114352.875""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""","=""3d6.(5D).6d""","=""114352""","=""5/2""",,"=""""","=""L18349c140""",
"=""187.29297""","=""0.00005""","=""187.292928""","=""0.000011""","=""800""","=""""",,"=""61974.931""","=""115367.230""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""","=""3d5.4s.(5S).5s""","=""6S""","=""5/2""",,"=""""","=""L18349c139""",
"=""187.29782""","=""0.00005""","=""187.297821""","=""0.000008""","=""2000""","=""1.3e+07""",E,"=""54283.236""","=""107674.140""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""187.33630""","=""0.00017""","=""187.336306""","=""0.000008""","=""600""","=""""",,"=""54275.649""","=""107655.585""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d6.(5D).6p""","=""4D*""","=""5/2""",,"=""""","=""L18349c139""",
"=""187.3854""","=""0.0005""","=""187.385283""","=""0.000008""","=""260d?""","=""""",,"=""60807.239""","=""114173.223""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(5D).6d""","=""6D""","=""7/2""",,"=""""","=""L18349c143""",
"=""187.49711""","=""0.00004""","=""187.497257""","=""0.000008""","=""4000""","=""2.1e+06""",D,"=""8391.9554""","=""61726.069""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""187.51355""","=""0.00003""","=""187.513555""","=""0.000008""","=""2700""","=""""",,"=""54275.649""","=""107605.127""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d6.(5D).6p""","=""6F*""","=""3/2""",,"=""""","=""L18349c139""",
"=""187.5214""","=""0.0002""","=""187.521124""","=""0.000011""","=""800""","=""""",,"=""13673.2045""","=""67000.530""","=""3d7""","=""a 4P""","=""3/2""","=""3d6.(3F2).4p""","=""y 2D*""","=""5/2""",,"=""""","=""L18349c140""",
"=""187.54220""","=""0.00008""","=""187.542128""","=""0.000011""","=""700""","=""""",,"=""54870.541""","=""108191.894""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""3/2""",,"=""""","=""L18349c139""",
"=""187.55319""","=""0.00007""","=""187.553260""","=""0.000014""","=""700""","=""""",,"=""62049.042""","=""115367.230""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""5/2""","=""3d5.4s.(5S).5s""","=""6S""","=""5/2""",,"=""""","=""L18349c139""",
"=""187.62127""","=""0.00018""","=""187.621256""","=""0.000011""","=""5000""","=""9.e+06""",D+,"=""21307.999""","=""74606.864""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3D).4p""","=""x 2D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""187.65585""","=""0.00003""","=""187.655838""","=""0.000008""","=""3400""","=""""",,"=""54283.236""","=""107572.279""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d6.(5D).6p""","=""6F*""","=""5/2""",,"=""""","=""L18349c139""",
"=""187.68390""","=""0.00003""","=""187.683914""","=""0.000011""","=""23000""","=""6.0e+07""",D+,"=""16369.4098""","=""69650.481""","=""3d7""","=""a 2G""","=""7/2""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""187.74657""","=""0.00002""","=""187.746567""","=""0.000014""","=""35000""","=""8.2e+07""",C+,"=""20340.2461""","=""73603.537""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(1I).4p""","=""w 2H*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""187.77158""","=""0.00002""","=""187.771589""","=""0.000009""","=""4000""","=""7.e+06""",E,"=""54273.656""","=""107529.849""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(5D).6p""","=""6F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
