obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""221.18366""","=""0.00014""","=""221.183876""","=""0.000020""","=""400""","=""7.1e+06""",D+,"=""63465.134""","=""108662.300""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""","=""3d6.(3D).5s""","=""4D""","=""3/2""",,"=""T6892c83""","=""L18349c146""",
"=""221.2166""","=""0.0005""","=""221.216804""","=""0.000010""","=""600""","=""""",,"=""22810.3459""","=""68000.785""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(3G).4p""","=""y 2H*""","=""9/2""",,"=""""","=""L18349c142""",
"=""221.2208""","=""0.0005""","=""221.221087""","=""0.000015""","=""1100""","=""2.2e+06""",D,"=""33501.2957""","=""78690.860""","=""3d6.(1G2).4s""","=""c 2G""","=""7/2""","=""3d6.(1D2).4p""","=""w 2D*""","=""5/2""",,"=""T6892c83""","=""L18349c142""",
"=""221.2256""","=""0.0005""","=""221.226373""","=""0.000011""","=""600d?""","=""""",,"=""21812.0454""","=""67000.530""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""","=""3d6.(3F2).4p""","=""y 2D*""","=""5/2""",,"=""""","=""L18349c142""",
"=""221.23742""","=""0.00006""","=""221.237427""","=""0.000015""","=""900""","=""2.1e+07""",D+,"=""62244.515""","=""107430.742""","=""3d6.(3F2).4p""","=""y 4F*""","=""3/2""","=""3d6.(3F2).4d""","=""2D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.28113""","=""0.00010""","=""221.281069""","=""0.000012""","=""330""","=""3.5e+06""",D,"=""63465.134""","=""108642.450""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""","=""3d6.(3G).4d""","=""4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.28579""","=""0.00014""","=""221.285757""","=""0.000011""","=""400""","=""3.9e+06""",D+,"=""64831.951""","=""110008.310""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""","=""3d6.(3G).4d""","=""2H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.29571""","=""0.00009""","=""221.295825""","=""0.000011""","=""600""","=""7.2e+06""",D+,"=""61726.069""","=""106900.373""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""","=""3d6.(3F2).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.3194""","=""0.0005""","=""221.319618""","=""0.000020""","=""150d""","=""""",,"=""69427.014""","=""114596.462""","=""3d5.(6S).4s.4p.(3P*)""","=""x 4P*""","=""1/2""","=""3d6.(5D).6d""","=""114596""","=""3/2""",,"=""""","=""L18349c142""",
"=""221.365297""","=""0.000011""","=""221.365294""","=""0.000010""","=""40000""","=""3.3e+07""",D+,"=""21251.5833""","=""66411.712""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""3d6.(3G).4p""","=""y 4H*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.37221""","=""0.00005""","=""221.372369""","=""0.000011""","=""7000bl(Ne)""","=""4.6e+06""",D+,"=""21430.3564""","=""66589.042""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3G).4p""","=""y 4H*""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
"=""221.38499""","=""0.00006""","=""221.385110""","=""0.000012""","=""600""","=""""",,"=""69650.481""","=""114806.568""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""","=""3d6.(5D).6d""","=""4G""","=""5/2""",,"=""""","=""L18349c139""",
"=""221.403689""","=""0.000011""","=""221.403688""","=""0.000009""","=""50000""","=""2.00e+08""",C+,"=""38660.0537""","=""83812.352""","=""3d6.(5D).4p""","=""z 6D*""","=""7/2""","=""3d6.(5D).4d""","=""6D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.41194""","=""0.00009""","=""221.411986""","=""0.000012""","=""4000""","=""1.2e+07""",D+,"=""30764.4737""","=""75915.080""","=""3d6.(3G).4s""","=""b 2G""","=""7/2""","=""3d6.(3D).4p""","=""w 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.44048""","=""0.00008""","=""221.440487""","=""0.000011""","=""2800""","=""1.0e+06""",D,"=""15844.6485""","=""60989.444""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3H).4p""","=""z 4H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.4479""","=""0.0005""","=""221.448216""","=""0.000012""","=""1300""","=""""",,"=""16369.4098""","=""61512.630""","=""3d7""","=""a 2G""","=""7/2""","=""3d6.(3H).4p""","=""z 4I*""","=""9/2""",,"=""""","=""L18349c142""",
